Rubric,Organization_name
Языковые школы|Центры раннего развития детей|Компьютерные курсы|Помощь в обучении|Курсы робототехники,"Гарантия Знаний, обучающий центр по робототехнике, программированию и химии"
Языковые школы|Перевод с иностранных языков|Обучение за рубежом|Помощь в обучении|Детские / подростковые клубы,"London Express, лингвистическая школа"
Школы искусств,Детская школа искусств №11
Чай / Кофе|Кондитерские изделия|Сувенирные композиции,"Кантата, сеть галерей чая, кофе и эксклюзивных подарков"
Чай / Кофе|Кондитерские изделия,"Кантата, сеть галерей чая, кофе и эксклюзивных подарковМагазин чая, кофе и шоколада"
Центры раннего развития детей|Обучение танцам|Театральные курсы|Организация и проведение праздников,"Династия, детский развивающий центр"
Центры раннего развития детей|Детские / подростковые клубы|Спортивные секции|Помощь в обучении|Театральные курсы,"Level, центр интеллектуального и творческого развития"
Центры раннего развития детей|Детские / подростковые клубы|Помощь в обучении|Компьютерные курсы|Курсы робототехники,"АкадемКлуб, детско-юношеский центр"
Хлебобулочные изделия|Религиозные товары,"Пять хлебов, магазин"
Хлебобулочные изделия|Кондитерские изделия,"SeDelice, сеть французских пекаренБуханка, сеть пекарен"
Хлебобулочные изделия|Быстрое питание,Магазин выпечки
Хлебобулочные изделия,"Каравай СВ, сеть булочныхКаравай СВ, сеть булочныхКаравай СВ, сеть булочныхКаравай СВ, сеть булочныхКаравай СВ, сеть булочныхКиоск хлебобулочных изделий, ИП Чекмаев С.И.Магазин-пекарняПечоринъ, магазин хлебобулочных изделийЧайная"
Точки безалкогольных напитков|Быстрое питание|Кондитерские изделия,"Cofix, сеть кофеен фиксированных цен"
Торговые центры / Универсальные магазины|Бизнес-центры,"Тёплый Стан, торгово-офисный центр"
Торговые центры / Универсальные магазины,"Konkovo MarketГалантерея, универсальный магазинГалеон, торговый центрКоньково Пассаж, торговый комплекс, ООО ТК КоньковоКоньково Пассаж, торговый комплекс, ООО ТК КоньковоКрокус, универмагКЭМП, торговый центрЛабиринт, торговый центрТвинПлаза, торговый центрТоргсин-Маркет, ООО, торговый домТропарёво, торговый центрФестивальный, торговый центрЭлектромир, центр электроникиЭТАЖИ, торговый центрЯсенево, торговый дом"
Торгово-развлекательные центры / Моллы,"FORT Ясенево, торгово-развлекательный центрКалита, торгово-развлекательный центрПринц Плаза, торгово-развлекательный центрСПЕКТР, торгово-развлекательный центр"
Театральные курсы|Творческие коллективы|Детские / подростковые клубы,"Дети Райка, сеть театральных студий"
Сыры|Жир / Маслопродукты,"Свежие продукты, компания"
Сыры,"Магазин сыров, ИП Дюряев Ю.Н."
Супермаркеты|Кулинарии,"EUROSPAR, сеть супермаркетовEUROSPAR, сеть супермаркетовПерекресток, сеть супермаркетовПерекресток, сеть супермаркетовПерекресток, сеть супермаркетов"
Супермаркеты|Аксессуары к мобильным телефонам,"Инесса, ООО, мини-маркет"
Супермаркеты,"BILLA, сеть супермаркетовPlaneta24, супермаркетАВ Daily, сеть мини-маркетовАвоська, сеть универсамовАзбука Вкуса, сеть супермаркетовБелмарт, магазин белорусских продуктовВерный, сеть универсамовВерный, сеть универсамовВеста, ООО, гастрономВкусВилл, сеть супермаркетов здорового питанияВкусВилл, сеть супермаркетов здорового питанияВкусВилл, сеть супермаркетов здорового питанияВкусВилл, сеть супермаркетов здорового питанияВкусВилл, сеть супермаркетов здорового питанияВкусВилл, сеть супермаркетов здорового питанияВкусВилл, сеть супермаркетов здорового питанияВкусВилл, сеть супермаркетов здорового питанияВкусВилл, сеть супермаркетов здорового питанияВкусВилл, сеть супермаркетов здорового питанияВкусВилл, сеть супермаркетов здорового питанияВкусВилл, сеть супермаркетов здорового питанияГастроном 21, супермаркетДва шага, ООО, мини-маркетДикси, сеть супермаркетов, АО Дикси ЮгДикси, сеть супермаркетов, АО Дикси ЮгДикси, сеть супермаркетов, АО Дикси ЮгДикси, сеть супермаркетов, АО Дикси ЮгДикси, сеть супермаркетов, АО Дикси ЮгДикси, сеть супермаркетов, АО Дикси ЮгДикси, сеть супермаркетов, АО Дикси ЮгДикси, сеть супермаркетов, АО Дикси ЮгЕсть хочу, супермаркетИнесса, ООО, мини-маркетМагнит, сеть универсамовМагнит, сеть универсамовМагнит, сеть универсамовМагнит, сеть универсамовМагнит, сеть универсамовМини-маркетМини-маркетМини-маркет, ИП Алиев А.З.Мини-маркет, ИП Стаханов С.А.Мираторг, сеть супермаркетовМонолит, ООО, мини-маркетНа Паустовского, гастрономПерекресток, сеть супермаркетовПерекресток, сеть супермаркетовПерекресток, сеть супермаркетовПерекресток, сеть супермаркетовПерекресток, сеть супермаркетовПерекресток, сеть супермаркетовПерекресток, сеть супермаркетовПерекресток, сеть супермаркетовПятерочка, сеть универсамовПятерочка, сеть универсамовПятерочка, сеть универсамовПятерочка, сеть универсамовПятерочка, сеть универсамовПятерочка, сеть универсамовПятерочка, сеть универсамовПятерочка, сеть универсамовПятерочка, сеть универсамовПятерочка, сеть универсамовПятерочка, сеть универсамовПятерочка, сеть универсамовПятерочка, сеть универсамовПятерочка, сеть универсамовПятерочка, сеть универсамовПятерочка, сеть универсамовПятерочка, сеть универсамовПятерочка, сеть универсамовПятерочка, сеть универсамовПятерочка, сеть универсамовПятерочка, сеть универсамовПятерочка, сеть универсамовРозелин, ООО, мини-маркетСулак, ООО, мини-маркетФасоль, сеть мини-маркетовФасоль, сеть мини-маркетовФасоль, сеть мини-маркетовХлебосол, мини-маркетЭкомаркетЭтношоп, ООО, мини-маркет"
Рыба / Морепродукты,"Компания по продаже живой рыбы и зарыблению водоемовМагазин рыбыМагазин рыбыМагазин рыбы, ИП Гурбанова А.М.Океан, магазин живой и свежемороженой рыбы, ИП Гурбанова А.М.Рыба от производителя, сеть магазинов морепродуктовРыба от производителя, сеть магазинов морепродуктовРыба от производителя, сеть магазинов морепродуктовРыбсеть, сеть магазиновСахалин рыба, сеть магазинов красной икрыСахалинский икорный дом, сеть магазиновЭкоморье, сеть магазинов морепродуктов"
Профессиональная переподготовка / Повышение квалификации,"Динамика, НОУ ДПОМеждународный институт сертифицированного образования"
Продукты пчеловодства|Фитопродукция|Жир / Маслопродукты|Заказ продовольственных / хозяйственных товаров на дом|Кондитерские изделия,"Добрый пасечник, магазин меда"
Продовольственные магазины|Магазины разливного пива,Продуктовый магазин
Продовольственные магазины|Алкогольные напитки,"Даг-Ди, ООО, продуктовый магазин"
Продовольственные магазины|Аксессуары к мобильным телефонам,"Кристина, продовольственный магазин"
Продовольственные магазины,"AYGI, магазин продуктов из АрменииAzia Shop, магазин корейских продуктовDa Lorenzo, лавка итальянских продуктовАй-Пай, продуктовый магазинАппетит, продуктовый магазинАртилайн, АО, продуктовый магазинБелорусские продукты, гастрономГастрономГастрономГванда, ООО, продуктовый магазинДеревенский Уголок, сеть продуктовых магазиновДеревенский Уголок, сеть продуктовых магазиновЕвро XXI, ООО, продуктовый магазинЗакрома Беларуси, продуктовый магазинЛаванда, ООО, магазин продуктовЛемакс трейдинг, ООО, продуктовый магазинМагазин продуктовМагазин продуктов, ИП Авдонин В.В.Магазин продуктов, ИП Голов О.А.Муган, продуктовый магазинПолли-С, ООО, продуктовый магазинПрестиж, продуктовый магазин, ИП Васильев А.О.Продовольственный магазинПродовольственный магазинПродовольственный магазин, ИП Абдулаев А.Н.Продуктовый магазинПродуктовый магазинПродуктовый магазинПродуктовый магазинПродуктовый магазинПродуктовый магазинПродуктовый магазин, ИП Бондарев В.И.Продуктовый магазин, ИП Гаджиев Э.Ш.Продуктовый магазин, ИП Модин А.В.Продуктовый магазин, ИП Романова Л.А.Продуктовый магазин, ИП Савина А.В.Продуктовый магазин, ИП Савина А.В.Продукты от производителя, магазинРозничная и комиссионная торговля, ООО, продуктовый магазинСектор плюс-ОХ, ООО, продуктовый магазинУ Татьяны, магазин продуктовФУД СИТИ Экспресс, магазин продуктовХалал, продуктовый магазин"
Орехи / Семечки / Сухофрукты|Ягоды / Грибы|Овощи / Фрукты,"Натфуд, магазин сухофруктов и орехов"
Овощи / Фрукты|Орехи / Семечки / Сухофрукты,"Магазин овощей и фруктовМагазин фруктов и овощейРадуга Вкуса, магазин натуральных продуктов"
Овощи / Фрукты|Мука / Крупы|Специи / Пряности|Консервированная продукция|Чай / Кофе,Оптово-розничный продуктовый магазин
Овощи / Фрукты|Консервированная продукция|Чай / Кофе|Мука / Крупы,"Бакалея №1, оптово-розничный магазин"
Овощи / Фрукты,"Инесса, ООО, магазин овощей и фруктовКиоск овощей и фруктовКиоск овощей и фруктов, ИП Рощина Е.В.Магазин овощейМагазин овощей и фруктовМагазин овощей и фруктовМагазин овощей и фруктовМагазин овощей и фруктовМагазин овощей и фруктовМагазин овощей и фруктов, ИП Амирова О.В.Магазин овощей и фруктов, ИП Суслова М.В.Магазин фруктов и овощейМагазин фруктов и овощейМагазин фруктов и овощей, ИП Васин В.А.Фрутаминка, сеть магазинов фруктов и овощей"
Обучение танцам|Театральные курсы,"Ирбис, танцевальная и театральная студия для детей"
Мясо птицы / Полуфабрикаты|Мясо / Полуфабрикаты,"Инесса, ООО, магазин мясных изделийЯЗМ, ООО, торговый дом"
Мясо / Полуфабрикаты|Сырьё для пищевой промышленности,"ВИЛДО, ООО, оптовая компания"
Мясо / Полуфабрикаты|Мясо птицы / Полуфабрикаты|Специи / Пряности,Магазин мясной продукции
Мясо / Полуфабрикаты|Мясо птицы / Полуфабрикаты|Колбасные изделия,"Halal, магазин мясной продукции"
Мясо / Полуфабрикаты|Мясо птицы / Полуфабрикаты,"Магазин мясаМагазин мясаМагазин мясаМясная лавкаМясной бутик №1Мясной дворик, сеть магазиновМясной пассаж, сеть магазиновХрюКому, сеть магазинов мясной продукции"
Мясо / Полуфабрикаты,"Дом мяса, магазин мясной продукцииМагазин мясаМагазин мясной продукцииОрловское мясо, ООО, сеть магазинов"
Мука / Крупы|Овощи / Фрукты|Консервированная продукция|Чай / Кофе,Оптовый продуктовый магазин
Музыкальные курсы|Курсы вокала,Академия музыки Владимира Коробки
Музыкальные курсы,"Presto, студия современной музыкиСтудия по обучению игре на гитаре"
Молочные продукты|Сыры,"Киоск молочной продукцииМагазин сыров и молочных продуктов, ИП Гасанов Н.В.Останкинский Молочный Комбинат, ОАО, фирменный магазин"
Молочные продукты|Консервированная продукция|Мороженое|Хлебобулочные изделия,"ОкМолоко, сеть магазинов и киосков"
Молочные продукты|Консервированная продукция,"ОкМолоко, сеть магазинов и киосков"
Молочные продукты|Колбасные изделия|Сыры|Консервированная продукция,"БеларусЪ, сеть магазинов"
Молочные продукты|Колбасные изделия|Сыры,"Мичурино молоко, сеть фирменных магазинов"
Молочные продукты,"Магазин молочной продукцииРузское молоко, сеть фирменных магазиновУмалат, производственно-торговая компания"
Маркетинговые / социологические исследования|Обучение бизнес-профессиям|Организация и проведение промоушн-акций,"Biecom, консалтинговая компания"
Курсы творчества и рукоделия,Центр кройки и шитья
Кулинарные курсы,"Chocolate AcademyПекан, кондитерская студия"
Кулинарии|Хлебобулочные изделия,"Арамье, сеть пекарен-кулинарий"
Консервированная продукция|Сыры|Молочные продукты|Орехи / Семечки / Сухофрукты|Хлебобулочные изделия,Магазин продуктов из Армении
Кондитерские изделия|Чай / Кофе|Специи / Пряности,Магазин продуктов из Армении
Кондитерские изделия|Хлебобулочные изделия|Молочные продукты,"ДОБРЫНИНСКИЙ и партнёры, сеть магазинов"
Кондитерские изделия|Хлебобулочные изделия,"Черёмушки, сеть фирменных магазинов"
Кондитерские изделия|Кулинарии,"У Палыча, сеть фирменных магазиновУ Палыча, сеть фирменных магазиновУ Палыча, сеть фирменных магазиновУ Палыча, сеть фирменных магазинов"
Кондитерские изделия|Кафе-кондитерские / Кофейни|Пекарни,"Comme a Paris, французская пекарня-кондитерская"
Кондитерские изделия,"Jcandy, интернет-магазинКондитерский магазинКонфаэль, сеть шоколадных бутиковМагазин кондитерских изделийМагазин кондитерских изделийМагазин кондитерских изделийМагазин кондитерских изделий, ИП Мегрикян Г.В.Магазин молочных продуктов, ИП Джейранашвили М.Н.Моё Японское Cafe, интернет-магазинНародный кондитер, сеть магазиновНетНеСлипнется!, магазин конфетОникс, сеть кондитерских магазиновОстров сладостей, магазин кондитерских изделийСладкий Мир, магазин кондитерских изделийСладкий мир, магазин кондитерских изделий, ИП Лукин В.А.Сладкий мир, магазин кондитерских изделий, ИП Лукин В.А.ЮДС-Модный Сезон, ООО"
Компьютерные курсы|Помощь в обучении,Клуб математики и программирования в Коньково
Компьютерные курсы|Детские / подростковые клубы,"Софтиум, школа программирования"
Колбасные изделия|Сыры|Мясо / Полуфабрикаты,"БахрушинЪ, сеть фирменных магазинов"
Колбасные изделия|Сыры|Жир / Маслопродукты,Магазин колбасных изделий и сыров
Колбасные изделия|Сыры,"Белорусские колбасы, сеть магазиновМагазин белорусских продуктов"
Колбасные изделия|Консервированная продукция|Сыры,"Магазин белорусских продуктов, ИП Незванкин Р.А."
Колбасные изделия,"Вегус, сеть магазинов колбасных изделийМясницкий ряд, торговая сетьМясницкий ряд, торговая сетьМясницкий ряд, торговая сетьМясницкий ряд, торговая сетьМясницкий ряд, торговая сетьМясницкий ряд, торговая сетьРЕМИТ, сеть фирменных магазиновРЕМИТ, сеть фирменных магазиновРублёвский, сеть магазинов колбасных изделийРублёвский, сеть магазинов колбасных изделийРублёвский, сеть магазинов колбасных изделийРублёвский, сеть магазинов колбасных изделийРублёвский, сеть магазинов колбасных изделийРублёвский, сеть магазинов колбасных изделийРублёвский, сеть магазинов колбасных изделийРублёвский, сеть магазинов колбасных изделийРублёвский, сеть магазинов колбасных изделийРублёвский, сеть магазинов колбасных изделийРублёвский, сеть магазинов колбасных изделийСнежана, торговая сетьСнежана, торговая сеть"
Кафе-кондитерские / Кофейни|Чай / Кофе|Кондитерские изделия,Московский Кофейный Пункт
Кафе-кондитерские / Кофейни|Хлебобулочные изделия|Кондитерские изделия,Пегас Кофе
Кафе-кондитерские / Кофейни|Хлебобулочные изделия,"Wild Bean Cafe, сеть мини-кофеен"
Кафе-кондитерские / Кофейни|Кондитерские изделия,"La Mia, кафе-кондитерская"
Быстрое питание|Хлебобулочные изделия,ПекарняПекарняПекарня
Алкогольные напитки|Продовольственные магазины,"Красное & белое, сеть магазиновКрасное & белое, сеть магазинов"
Алкогольные напитки|Магазины разливного пива|Продовольственные магазины,"Красное & белое, сеть магазинов"
